fellow_name,twitter_handle,start_date,end_date,organization_name,organization_url
Ben Chartoff,,2014-02-01,2014-12-01,Washington Post,http://www.washingtonpost.com/
Mark Boas,maboas,2012-02-01,2012-12-01,Al Jazeera English,http://www.aljazeera.com/
Noah Veltman,veltman,2013-02-01,2013-12-01,BBC,http://www.bbc.co.uk
Laurian Gridinoc,gridinoc,2012-02-01,2012-12-01,BBC,http://www.bbc.co.uk
Sonya Song,sonya2song,2013-02-01,2013-12-01,Boston Globe,http://www.bostonglobe.com/
Dan Schultz,slifty,2012-02-01,2012-12-01,Boston Globe,http://www.bostonglobe.com/
Gabriela Rodriguez,gaba,2014-02-01,2014-12-01,La Nacion,http://www.lanacion.com
Manuel Aristarán,manuelaristaran,2013-02-01,2013-12-01,La Nacion,http://www.lanacion.com
Harlo Holmes,harlo,2014-02-01,2014-12-01,New York Times,http://www.nytimes.com
Brian Abelson,brianabelson,2013-02-01,2013-12-01,New York Times,http://www.nytimes.com
Brian Jacobs,btjakes,2014-02-01,2014-12-01,ProPublica,http://www.propublica.org
Mike Tigas,mtigas,2013-02-01,2013-12-01,ProPublica,http://www.propublica.org
Friedrich Lindenberg,pudo,2013-02-01,2013-12-01,Spiegel Online,http://www.spiegel.de/
Marcos Vanetta,malev,2014-02-01,2014-12-01,Texas Tribune,http://www.texastribune.org/
Stijn Debrouwere,stdbrouw,2013-02-01,2013-12-01,The Guardian,http://www.theguardian.com/uk
Nicola Hughes,DataMinerUK,2012-02-01,2012-12-01,The Guardian,http://www.theguardian.com/uk
Aurelia Moser,auremoser,2014-02-01,2014-12-01,Ushahidi / Internews Kenya,http://www.ushahidi.com/
Annabel Church,annabelchurch,2013-02-01,2013-12-01,Zeit Online,http://www.zeit.de/index
Cole Gillespie,theCole,2012-02-01,2012-12-01,Zeit Online,http://www.zeit.de/index
